,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(C),Exit_λ(C),"Entry_calc_atr_…(H,L,C,14)","Exit_calc_atr_…(H,L,C,14)",Entry_λ(V),Exit_λ(V),"Entry_calc_adx(H,L,C,14)","Exit_calc_adx(H,L,C,14)"
45,-46,3052,3058,11980.53,14141.389060843496,14141.389060843496,9323.196173945627,-99880.1601095203,480.64331071952034,-0.18123637505751689,2017-12-22 15:00:00,2017-12-22 21:00:00,0 days 06:00:00,,-741.8982614491795,-622.9770980234115,948.0938033025436,931.6402037170615,1569.39718325,1597.83715615,43.783538149313344,35.04174074234195
46,-92,3174,3191,14558.63,13240.146395590122,15635.682883527903,13240.146395590122,120277.496634351,1022.9949713577166,0.08979993954456161,2017-12-27 17:00:00,2017-12-28 10:00:00,0 days 17:00:00,,138.52731697071025,-332.71722266659924,455.29016326972453,604.745281283449,594.9757428,924.4286044999999,31.71646238775043,31.605667748425663
47,-91,3174,3205,14558.63,14199.14,14349.191065931687,,31666.807171999983,1046.7828279999999,0.023902447689102633,2017-12-27 17:00:00,2017-12-29 00:00:00,1 days 07:00:00,,138.52731697071025,-278.96559679249924,455.29016326972453,505.8904657218808,594.9757428,796.5409354000001,31.71646238775043,32.65710431209023
48,-87,3243,3269,12450.28,13587.751008133504,13587.751008133504,,-99866.10118669784,906.123479083046,-0.09219762290781862,2017-12-30 14:00:00,2017-12-31 16:00:00,1 days 02:00:00,,-325.20807860431836,-52.10881075113136,491.84747338498704,453.3822889132239,832.5959266,519.2284403,35.10758486413553,20.62169936395031
49,-87,3243,3269,12450.28,13587.751008133504,13587.751008133504,11032.041239833117,-99866.10118669784,906.123479083046,-0.09219762290781862,2017-12-30 14:00:00,2017-12-31 16:00:00,1 days 02:00:00,,-325.20807860431836,-52.10881075113136,491.84747338498704,453.3822889132239,832.5959266,519.2284403,35.10758486413553,20.62169936395031
50,-107,3454,3458,14650.0,13519.93855571966,15554.04915542427,13519.93855571966,119710.90116781156,1205.6733701848016,0.07636815487085682,2018-01-08 10:00:00,2018-01-08 14:00:00,0 days 04:00:00,,-227.01506321055558,-314.664784974365,394.9659232296288,505.03314825493095,719.8757424500001,860.84547275,37.02284697514129,41.57472770359682
51,-107,3454,3459,14650.0,14461.656425953277,14461.656425953277,,18906.78352796856,1245.9788950308002,0.01206135914514275,2018-01-08 10:00:00,2018-01-08 15:00:00,0 days 05:00:00,,-227.01506321055558,-352.8903735242854,394.9659232296288,603.8164948081502,719.8757424500001,1048.45907285,37.02284697514129,43.85619505669334
52,-81,3482,3520,14072.87,12524.572506015307,15254.195995187754,12524.572506015307,124550.33987556527,861.7571371948959,0.1092640319268413,2018-01-09 14:00:00,2018-01-11 04:00:00,1 days 14:00:00,,-175.46762233682296,-43.61811573668544,512.2339862333572,604.5457695879429,642.99219715,1039.2737530999998,46.062488606683665,30.406920195920705
53,-80,3482,3524,14072.87,13788.287084335885,13788.287084335885,,21875.07622643051,891.5570266987484,0.019430183951843653,2018-01-09 14:00:00,2018-01-11 08:00:00,1 days 18:00:00,,-175.46762233682296,-170.57662488413257,512.2339862333572,617.6686697001572,642.99219715,1259.5207606999998,46.062488606683665,35.95759213779657
54,-133,3601,3612,12881.56,13619.931656413979,13619.931656413979,,-99613.3096591805,1409.8793561212237,-0.05814297748693061,2018-01-14 13:00:00,2018-01-15 00:00:00,0 days 11:00:00,,-132.43511912653508,-181.55893225952724,326.9473670649324,313.5115688312651,620.5728712,765.06747255,30.711303379429157,40.14897136510236
55,-135,3601,3612,12881.56,13619.931656413979,13619.931656413979,11958.055429482527,-101111.2541653336,1431.0805494463548,-0.05814297748693061,2018-01-14 13:00:00,2018-01-15 00:00:00,0 days 11:00:00,,-132.43511912653508,-181.55893225952724,326.9473670649324,313.5115688312651,620.5728712,765.06747255,30.711303379429157,40.14897136510236
56,-89,3645,3657,11807.46,10459.881182362116,12941.683054110306,10459.881182362116,119141.79742367948,792.7173460920914,0.11337509347183378,2018-01-16 09:00:00,2018-01-16 21:00:00,0 days 12:00:00,,-222.37794876546195,-567.3044395345299,517.0455864117257,661.3657032330425,1348.5023578,2337.12156975,41.15955894983438,52.145494893125495
57,-90,3645,3677,11807.46,10287.97,11608.863530393686,,135958.66452,795.43548,0.1279404569653423,2018-01-16 09:00:00,2018-01-17 17:00:00,1 days 08:00:00,,-222.37794876546195,-533.5443445325237,517.0455864117257,721.135212779801,1348.5023578,3268.22889545,41.15955894983438,52.35957578844497
58,-117,3773,3801,11180.0,10114.421000176262,12032.46319985899,10114.421000176262,123676.16407656908,996.5789028082492,0.09454930513628505,2018-01-21 17:00:00,2018-01-22 21:00:00,1 days 04:00:00,,-138.14587556711822,-286.25402071162625,355.82207137401394,373.0215312200749,1744.2747702000001,1840.6280317,26.145980495144652,33.45771596926787
59,-117,3773,3804,11180.0,10760.05,11002.403500029377,,48107.35566000008,1026.79434,0.03677763685152059,2018-01-21 17:00:00,2018-01-23 00:00:00,1 days 07:00:00,,-138.14587556711822,-290.0295422579961,355.82207137401394,378.406575834732,1744.2747702000001,1940.0936317,26.145980495144652,32.97017645746613
60,-222,3950,3973,11499.63,10929.180517125988,11955.989586299209,10929.180517125988,124648.1068241098,1991.6783739207876,0.04882574123403632,2018-01-29 02:00:00,2018-01-30 01:00:00,0 days 23:00:00,,86.34788398330744,-99.2981542725102,192.98912565147987,167.15630605044205,711.89850675,528.73315395,29.771070136001313,27.05541303560896
61,-221,3950,3981,11499.63,11171.08,11404.555086187664,,70605.45923599985,2004.090764,0.027781912635449987,2018-01-29 02:00:00,2018-01-30 09:00:00,1 days 07:00:00,,86.34788398330744,-123.76338951505257,192.98912565147987,167.11082606038354,711.89850675,477.1265555,29.771070136001313,31.983195520067923
62,-232,3986,3990,10620.76,10067.628354088612,11063.26531672911,10067.628354088612,126406.65941218253,1919.8824392594233,0.05130106419594755,2018-01-30 14:00:00,2018-01-30 18:00:00,0 days 04:00:00,,-131.6555791568511,-197.51658802337272,184.698842782096,219.81859976831123,593.1411039000001,933.7521646000001,36.0998163681965,44.40527844838193
63,-233,3986,3991,10620.76,10528.571392348102,10528.571392348102,,19508.827897125524,1971.1176857668434,0.007883510699324683,2018-01-30 14:00:00,2018-01-30 19:00:00,0 days 05:00:00,,-131.6555791568511,-212.62874600697006,184.698842782096,251.26012835628902,593.1411039000001,1040.82333,36.0998163681965,44.102489709356114
64,-204,4030,4039,9589.92,8940.195219831268,10084.823824134986,8940.195219831268,131031.79775248303,1512.0574019382316,0.06697790326517832,2018-02-01 10:00:00,2018-02-01 19:00:00,0 days 09:00:00,,-78.24717404868102,-234.53683639106478,209.5419557665125,224.23466525759417,708.5293014499999,1285.4300495,32.53971478949876,46.11775993738632
65,-204,4030,4041,9589.92,9470.115869971878,9470.115869971878,,22884.743598747187,1555.2989269897053,0.011697711313559832,2018-02-01 10:00:00,2018-02-01 21:00:00,0 days 11:00:00,,-78.24717404868102,-245.65900136791944,209.5419557665125,266.07106341088485,708.5293014499999,1512.2367339500001,32.53971478949876,43.4300708845904
66,-167,4131,4141,7329.72,6529.293709849903,7934.853032120077,6529.293709849903,132745.4083392482,925.7821158179736,0.10844652792550831,2018-02-05 15:00:00,2018-02-06 01:00:00,0 days 10:00:00,,-260.88828577282,-359.65022006481536,269.0538517131251,354.2584443091781,2007.1455665499998,3083.75693625,39.68635571201198,43.59809814642006
67,-167,4131,4150,7329.72,6671.08,7180.015618308317,,109057.62656000005,935.2534400000001,0.08909476487505662,2018-02-05 15:00:00,2018-02-06 10:00:00,0 days 19:00:00,,-260.88828577282,-417.4295008556935,269.0538517131251,396.02425390270514,2007.1455665499998,4166.79085285,39.68635571201198,36.300818146506764
68,178,4334,4394,9585.07,10930.777489046219,9226.252669587675,10930.777489046219,238075.2047090069,1460.728341220091,0.13954005031268427,2018-02-15 10:00:00,2018-02-17 22:00:00,2 days 12:00:00,,204.1208753158703,168.22628047890757,161.2283123619115,149.33399678649505,1973.3578551500002,1663.9267176499998,42.675208445085914,27.52544430329821
69,417,4334,4399,9585.07,10877.074740198153,10877.074740198153,,535352.890919965,3413.085742665052,0.13393954163110697,2018-02-15 10:00:00,2018-02-18 03:00:00,2 days 17:00:00,,204.1208753158703,178.75711849911485,161.2283123619115,178.60795364068568,1973.3578551500002,1786.1784295499997,42.675208445085914,32.84494024114617
70,-189,4505,4544,9890.0,10478.115252230622,10478.115252230622,,-112693.61218465619,1539.8295130686352,-0.060289433602781946,2018-02-22 13:00:00,2018-02-24 04:00:00,1 days 15:00:00,,-145.94350000327339,36.92319589226091,246.28405592256178,179.17604846216204,2731.83464295,2215.7866568500003,31.43017549369375,20.268828466119174
71,-189,4505,4544,9890.0,10478.115252230622,10478.115252230622,9139.128434711723,-112693.61218465619,1539.8295130686352,-0.060289433602781946,2018-02-22 13:00:00,2018-02-24 04:00:00,1 days 15:00:00,,-145.94350000327339,36.92319589226091,246.28405592256178,179.17604846216204,2731.83464295,2215.7866568500003,31.43017549369375,20.268828466119174
72,436,4686,4698,11179.1,10822.497404042066,10822.497404042066,,-159315.81042492445,3837.0785872649367,-0.03268628377235661,2018-03-02 02:00:00,2018-03-02 14:00:00,0 days 12:00:00,,109.09171085095555,79.38147648115347,149.0956472456295,149.31943408818105,1202.1555299,1195.6755372,29.598327757042078,23.089805296801618
