,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(C),Exit_λ(C),"Entry_calc_atr_…(H,L,C,14)","Exit_calc_atr_…(H,L,C,14)",Entry_λ(V),Exit_λ(V),"Entry_calc_adx(H,L,C,14)","Exit_calc_adx(H,L,C,14)"
28,13,2001,2048,305.0,295.0537930902205,295.0537930902205,,-132.42096955120272,3.120279724069147,-0.03339747025251012,2017-11-08 19:00:00,2017-11-10 18:00:00,1 days 23:00:00,,1.4349668175029198,-2.4446298144007175,5.262360059322522,6.667925422555787,632.0598090000001,634.614332,22.44713627413236,36.64860822440079
29,3,2001,2048,305.0,295.0537930902205,295.0537930902205,343.4490282672798,-30.55868528104678,0.7200645517082646,-0.03339747025251012,2017-11-08 19:00:00,2017-11-10 18:00:00,1 days 23:00:00,,1.4349668175029198,-2.4446298144007175,5.262360059322522,6.667925422555787,632.0598090000001,634.614332,22.44713627413236,36.64860822440079
30,2,2135,2296,325.94,374.74374964840524,314.05997230816763,374.74374964840524,97.04695229709176,0.5605469997187242,0.1488724186922313,2017-11-14 09:00:00,2017-11-21 02:00:00,6 days 17:00:00,,2.6669288297682976,3.596204831286686,5.744037662137049,4.123558515462663,681.45988,733.3410755,22.82828174381271,39.33563664150727
31,10,2135,2298,325.94,354.93,,,287.1765200000001,2.7234800000000003,0.08810717309934356,2017-11-14 09:00:00,2017-11-21 04:00:00,6 days 19:00:00,,2.6669288297682976,2.916412662995869,5.744037662137049,5.4818438220060735,681.45988,988.6604580000001,22.82828174381271,36.7843087414571
32,5,2380,2505,441.74,418.6019404871928,418.6019404871928,,-117.41098144501048,1.7206838809743856,-0.05315841057862569,2017-11-24 14:00:00,2017-11-29 19:00:00,5 days 05:00:00,,6.631835129928292,2.438158254677376,10.489180963197844,18.17384717552145,1141.324088,1983.0586704999998,23.263923869462115,21.779385579141508
33,1,2380,2505,441.74,418.6019404871928,418.6019404871928,536.1920616433022,-23.482196289002093,0.34413677619487715,-0.05315841057862569,2017-11-24 14:00:00,2017-11-29 19:00:00,5 days 05:00:00,,6.631835129928292,2.438158254677376,10.489180963197844,18.17384717552145,1141.324088,1983.0586704999998,23.263923869462115,21.779385579141508
34,-3,2670,2694,420.62,389.98818044003764,442.78866767730574,389.98818044003764,90.92272886335905,0.9727298165280452,0.07205452971277249,2017-12-06 16:00:00,2017-12-07 16:00:00,1 days 00:00:00,,-5.480477815916218,-7.400413030198912,10.792229863797868,13.099239708533068,1595.7097505,1867.9916699999999,51.4983478931624,48.27737300457754
35,-3,2670,2698,420.62,415.3730300733396,415.3730300733396,,14.737718143893272,1.0031916360880075,0.011679360740409567,2017-12-06 16:00:00,2017-12-07 20:00:00,1 days 04:00:00,,-5.480477815916218,-7.211766788627546,10.792229863797868,13.131179074224619,1595.7097505,1792.6748735,51.4983478931624,46.45013533431741
36,1,2802,2836,530.4,680.163003933724,494.17704348286753,680.163003933724,149.27877873215053,0.4842252015734896,0.2814456612597107,2017-12-12 04:00:00,2017-12-13 14:00:00,1 days 10:00:00,,13.80161310888509,23.949469047050528,16.596182945542942,26.46450186898088,1599.9352025,2198.5404074999997,31.214847666602886,36.090632330103475
37,3,2802,2839,530.4,638.9777635184373,638.9777635184373,,324.3300372390899,1.4032533162221248,0.20382732355397806,2017-12-12 04:00:00,2017-12-13 17:00:00,1 days 13:00:00,,13.80161310888509,26.83699964510781,16.596182945542942,29.15702645996756,1599.9352025,2501.316486,31.214847666602886,37.117776918856734
38,-1,3046,3066,609.43,699.6437621602205,699.6437621602205,,-90.73739166508463,0.5236295048640882,-0.1488889481402042,2017-12-22 08:00:00,2017-12-23 04:00:00,0 days 20:00:00,,-26.859480096366877,-17.185552656166294,41.25873078191123,43.77087531518753,4977.1914055,5497.678945,46.216878193369276,30.01693983786125
39,-1,3185,3208,669.99,721.4529145780386,721.4529145780386,,-52.01949174386985,0.5565771658312155,-0.07764219129221306,2017-12-28 03:00:00,2017-12-29 02:00:00,0 days 23:00:00,,-4.799801214637101,-4.711055725075528,25.453567841379947,21.04255907169945,2797.729519,2415.010539,25.122250775239582,25.666607571657913
40,-1,3185,3208,669.99,721.4529145780386,721.4529145780386,599.836934666311,-52.01949174386985,0.5565771658312155,-0.07764219129221306,2017-12-28 03:00:00,2017-12-29 02:00:00,0 days 23:00:00,,-4.799801214637101,-4.711055725075528,25.453567841379947,21.04255907169945,2797.729519,2415.010539,25.122250775239582,25.666607571657913
41,2,3305,3453,857.94,1161.9589514066633,1161.9589514066633,,606.4219836522012,1.6159191611253307,0.3534174788750969,2018-01-02 03:00:00,2018-01-08 08:00:00,6 days 05:00:00,,14.106697228579728,36.80039140114197,24.265712299183868,38.33877851805796,3530.9796465,3747.0949764999996,24.33821346601775,43.09826740224909
42,1,3499,3515,1354.63,1228.0865722707317,1228.0865722707317,,-127.57651435817668,1.033086628908293,-0.09417812565658276,2018-01-10 06:00:00,2018-01-10 22:00:00,0 days 16:00:00,,37.84462924262985,17.98945749701722,59.12618702858731,58.173438562518115,5895.8052005,7021.605791999999,25.84011379055969,18.93018362465488
43,2,3584,3591,1416.99,1355.9497128571534,1355.9497128571534,,-124.298926055979,2.218351770285723,-0.043860198750865866,2018-01-13 19:00:00,2018-01-14 02:00:00,0 days 07:00:00,,32.5764656424357,32.26120152586767,29.731160157695026,30.265800021265296,3272.4153305,3065.5864425,25.63256613394871,20.39793714409997
44,-1,3765,3794,1054.71,963.1221292273742,1119.6037718999257,963.1221292273742,90.78073792093487,0.8071328516909497,0.08607175234987326,2018-01-21 08:00:00,2018-01-22 13:00:00,1 days 05:00:00,,5.60658584880159,-5.837348297438803,30.881007620098476,33.67760758655156,5719.637806000001,6012.0447645,25.41033338645616,18.22244445205509
45,-1,3765,3805,1054.71,993.0,1038.3536882045626,,60.89091600000004,0.819084,0.057732377620388575,2018-01-21 08:00:00,2018-01-23 00:00:00,1 days 16:00:00,,5.60658584880159,-22.60956330652022,30.881007620098476,34.82476876966749,5719.637806000001,8201.4494395,25.41033338645616,32.6871356065087
46,3,3931,3976,1173.0,1132.2750969644283,1132.2750969644283,,-124.94103922307254,2.766330116357314,-0.03550469997813939,2018-01-28 06:00:00,2018-01-30 03:00:00,1 days 21:00:00,,20.132627968444467,-8.062155383470044,20.308368164364662,21.194552073068504,4840.278849,3760.8640370000003,33.89792408214427,28.7713902728607
47,1,3931,3976,1173.0,1132.2750969644283,1132.2750969644283,1339.6018760546115,-41.64701307435752,0.9221100387857714,-0.03550469997813939,2018-01-28 06:00:00,2018-01-30 03:00:00,1 days 21:00:00,,20.132627968444467,-8.062155383470044,20.308368164364662,21.194552073068504,4840.278849,3760.8640370000003,33.89792408214427,28.7713902728607
48,-1,3992,4010,1072.55,1129.828081213085,1129.828081213085,,-58.15903244557022,0.880951232485234,-0.05422500810737992,2018-01-30 19:00:00,2018-01-31 13:00:00,0 days 18:00:00,,-14.880713419691077,-13.011498736221537,28.522761550977425,28.38313081671852,6350.2992810000005,7151.928609500001,40.0167301031517,29.18096541947496
49,-1,3992,4010,1072.55,1129.828081213085,1129.828081213085,999.0526165276115,-58.15903244557022,0.880951232485234,-0.05422500810737992,2018-01-30 19:00:00,2018-01-31 13:00:00,0 days 18:00:00,,-14.880713419691077,-13.011498736221537,28.522761550977425,28.38313081671852,6350.2992810000005,7151.928609500001,40.0167301031517,29.18096541947496
50,-1,4038,4050,1041.49,949.1044756545482,1109.2567178533313,949.1044756545482,91.58928655519,0.7962377902618194,0.0879406298238005,2018-02-01 17:00:00,2018-02-02 05:00:00,0 days 12:00:00,,-1.7730953312544389,-29.784851048838984,32.380757535497004,37.00085463854033,7173.8112815,10284.2245585,19.585206176104982,38.39571877922967
51,-1,4038,4059,1041.49,972.01,1026.1007459424247,,68.67460000000001,0.8054000000000001,0.06593879922034773,2018-02-01 17:00:00,2018-02-02 14:00:00,0 days 21:00:00,,-1.7730953312544389,-46.34743957531832,32.380757535497004,50.30491865577082,7173.8112815,16186.513508499998,19.585206176104982,46.102081195068415
52,-1,4114,4131,838.0,749.5557561340769,902.824445501677,749.5557561340769,87.80922156346948,0.6350223024536308,0.10478427394208772,2018-02-04 21:00:00,2018-02-05 14:00:00,0 days 17:00:00,,-22.08071048681889,-29.706515207419997,29.70869452992858,31.361852372451718,8160.132094999999,10203.6434045,33.307859371465455,43.516733739004636
53,-1,4114,4154,838.0,659.85,823.2426260223461,,177.55085999999997,0.59914,0.21187453460620523,2018-02-04 21:00:00,2018-02-06 13:00:00,1 days 16:00:00,,-22.08071048681889,-42.92635519989412,29.70869452992858,48.88333218478376,8160.132094999999,29165.029345999996,33.307859371465455,32.903132790008875
54,4,4317,4467,908.81,881.4140948410219,881.4140948410219,,-112.44797918765785,2.864358551745635,-0.030932752497127503,2018-02-14 17:00:00,2018-02-20 23:00:00,6 days 06:00:00,,9.664737732002507,-5.097251273733906,12.166778151516683,11.476973363969973,5922.026471,5265.693112999999,27.64969144081646,21.08740282570085
55,1,4317,4467,908.81,881.4140948410219,881.4140948410219,1020.8841574685463,-28.111994796914463,0.7160896379364088,-0.030932752497127503,2018-02-14 17:00:00,2018-02-20 23:00:00,6 days 06:00:00,,9.664737732002507,-5.097251273733906,12.166778151516683,11.476973363969973,5922.026471,5265.693112999999,27.64969144081646,21.08740282570085
56,-3,4468,4469,882.99,908.2393414007339,908.2393414007339,,-77.89749941188258,2.149475209680881,-0.02940671257578692,2018-02-21 00:00:00,2018-02-21 01:00:00,0 days 01:00:00,,-6.54994821716804,-7.850722498877306,12.915760980829262,13.841778053627172,6159.36346,6465.8100460000005,24.706135806585515,25.674731846206925
57,-3,4468,4469,882.99,908.2393414007339,908.2393414007339,848.5590799080901,-77.89749941188258,2.149475209680881,-0.02940671257578692,2018-02-21 00:00:00,2018-02-21 01:00:00,0 days 01:00:00,,-6.54994821716804,-7.850722498877306,12.915760980829262,13.841778053627172,6159.36346,6465.8100460000005,24.706135806585515,25.674731846206925
58,-2,4505,4520,800.0,840.1281852079693,840.1281852079693,,-81.56847296410497,1.3121025481663755,-0.05098029560256561,2018-02-22 13:00:00,2018-02-23 04:00:00,0 days 15:00:00,,-12.406724381196234,-11.342978627134357,18.465402847519528,18.111578043529658,5908.2942125,6784.275526,29.431101404319836,27.352947255669733
59,-2,4505,4520,800.0,840.1281852079693,840.1281852079693,743.8379292618599,-81.56847296410497,1.3121025481663755,-0.05098029560256561,2018-02-22 13:00:00,2018-02-23 04:00:00,0 days 15:00:00,,-12.406724381196234,-11.342978627134357,18.465402847519528,18.111578043529658,5908.2942125,6784.275526,29.431101404319836,27.352947255669733
60,-6,4740,4744,840.06,853.1804130595716,853.1804130595716,,-82.78625534877294,4.063776991342972,-0.016424671124438135,2018-03-04 08:00:00,2018-03-04 12:00:00,0 days 04:00:00,,-3.4459962268906636,-3.699221579134575,6.333680836832146,6.406631829986537,1380.528665,1289.1774725,36.6692069694,34.38396395636765
61,-6,4740,4744,840.06,853.1804130595716,853.1804130595716,821.9558003733116,-82.78625534877294,4.063776991342972,-0.016424671124438135,2018-03-04 08:00:00,2018-03-04 12:00:00,0 days 04:00:00,,-3.4459962268906636,-3.699221579134575,6.333680836832146,6.406631829986537,1380.528665,1289.1774725,36.6692069694,34.38396395636765
62,-5,4791,4798,831.68,812.1645861661733,846.4419701448063,812.1645861661733,94.28937999680086,3.287689172332347,0.022674437282801285,2018-03-06 11:00:00,2018-03-06 18:00:00,0 days 07:00:00,,-4.3653078143700705,-7.523654987149343,6.693104281898763,8.018327125388963,1589.8461974999998,1983.2507029999997,27.628325882490163,37.976301217727205
63,-6,4791,4806,831.68,824.24,828.6440976943622,,40.66579199999965,3.9742080000000004,0.008149326664101493,2018-03-06 11:00:00,2018-03-07 02:00:00,0 days 15:00:00,,-4.3653078143700705,-8.958791666888274,6.693104281898763,8.892058594624384,1589.8461974999998,2101.101557,27.628325882490163,40.971526547854516
64,-4,4810,4820,800.28,773.4043118814981,821.1501712869015,773.4043118814981,104.98485757499719,2.517894899010397,0.03279628929093484,2018-03-07 06:00:00,2018-03-07 16:00:00,0 days 10:00:00,,-9.116497815497627,-12.950388552928056,9.829617750964884,13.436353335342217,2301.459873,3207.6905235,43.45606800221696,49.83304635524722
65,-4,4810,4836,800.28,756.37,796.3590519802498,,173.14935999999986,2.49064,0.05409024341480478,2018-03-07 06:00:00,2018-03-08 08:00:00,1 days 02:00:00,,-9.116497815497627,-15.23155543089533,9.829617750964884,12.82524720663579,2301.459873,5174.7672815000005,43.45606800221696,39.432559616574245
66,-2,4846,4856,705.97,658.7742694357539,740.5802024137805,658.7742694357539,93.29966571294361,1.0917954155486034,0.06607905839691745,2018-03-08 18:00:00,2018-03-09 04:00:00,0 days 10:00:00,,-10.263403684852266,-18.583364765528145,15.734630888933332,16.683083773783128,3373.3150925,3732.902166,34.00728863557183,49.64082626113521
67,-2,4846,4864,705.97,684.76,698.104044905959,,41.307416000000075,1.112584,0.0292557870731051,2018-03-08 18:00:00,2018-03-09 12:00:00,0 days 18:00:00,,-10.263403684852266,-19.857113667886804,15.734630888933332,17.647647761287846,3373.3150925,4653.6220535,34.00728863557183,47.99812813657832
68,-3,4983,4988,665.79,635.6190596317659,687.6900229367048,635.6190596317659,88.95113023314397,1.561690871558119,0.04453412749422693,2018-03-14 11:00:00,2018-03-14 16:00:00,0 days 05:00:00,,-3.293114010023304,-8.099473020472237,10.11552916159624,11.144944794201358,2322.7755125,2676.9692640000003,23.317834040186035,32.66560092735956
69,-4,4983,5005,665.79,611.49,660.6531766052943,,215.15635199999983,2.043648,0.08078987067994406,2018-03-14 11:00:00,2018-03-15 09:00:00,0 days 22:00:00,,-3.293114010023304,-21.674828701652803,10.11552916159624,16.163054100703345,2322.7755125,5181.9103425,23.317834040186035,56.17434520915743
70,-4,5060,5063,575.5,549.0258983135939,594.0476745700312,549.0258983135939,104.09716530832277,1.7992414373017502,0.04522031507746431,2018-03-17 16:00:00,2018-03-17 19:00:00,0 days 03:00:00,,-4.531699718780283,-7.252109946763819,8.411031474363801,9.211223086434869,2320.417135,2579.411501,32.17887823478555,39.04128499381506
71,-4,5060,5089,575.5,507.0,570.6709830522657,,272.268,1.7320000000000002,0.11827454387489135,2018-03-17 16:00:00,2018-03-18 21:00:00,1 days 05:00:00,,-4.531699718780283,-19.933621901313277,8.411031474363801,21.093841668424734,2320.417135,10446.594979,32.17887823478555,52.060583225395206
72,-3,5179,5187,517.35,542.135239902281,542.135239902281,,-75.62710199472568,1.2713822878827372,-0.04872723301100194,2018-03-22 15:00:00,2018-03-22 23:00:00,0 days 08:00:00,,-4.657904409662575,-7.674930632269729,11.535653205508208,10.648263775907264,4833.786529999999,4819.4029465,27.370795383461754,32.087387996673215
73,-3,5179,5187,517.35,542.135239902281,542.135239902281,483.315581951435,-75.62710199472568,1.2713822878827372,-0.04872723301100194,2018-03-22 15:00:00,2018-03-22 23:00:00,0 days 08:00:00,,-4.657904409662575,-7.674930632269729,11.535653205508208,10.648263775907264,4833.786529999999,4819.4029465,27.370795383461754,32.087387996673215
74,-4,5191,5211,516.97,540.8985189994424,540.8985189994424,,-97.40666562816878,1.692589630399108,-0.04710460260178008,2018-03-23 03:00:00,2018-03-23 23:00:00,0 days 20:00:00,,-7.592502976107436,-3.0162569682535185,10.707167110154304,9.360378200028295,5332.7441874999995,4206.9352785,33.39549781661086,17.62782988975841
75,-3,5191,5211,516.97,540.8985189994424,540.8985189994424,484.4583831825784,-73.05499922112658,1.2694422227993312,-0.04710460260178008,2018-03-23 03:00:00,2018-03-23 23:00:00,0 days 20:00:00,,-7.592502976107436,-3.0162569682535185,10.707167110154304,9.360378200028295,5332.7441874999995,4206.9352785,33.39549781661086,17.62782988975841
76,-5,5272,5287,485.32,461.8955681889674,502.4979166614239,461.8955681889674,115.22772791878509,1.8944311363779347,0.047485258352750824,2018-03-26 12:00:00,2018-03-27 03:00:00,0 days 15:00:00,,-3.629488897064688,-10.251132489862492,8.753276512938669,11.200180671875323,4504.0118435,7686.7329755,22.459909279661755,35.526050766862056
77,-5,5272,5300,485.32,467.97,481.41592803149456,,84.84341999999982,1.9065800000000004,0.03496390834913035,2018-03-26 12:00:00,2018-03-27 16:00:00,1 days 04:00:00,,-3.629488897064688,-9.631911969467643,8.753276512938669,10.809057046749526,4504.0118435,6783.617076500001,22.459909279661755,31.968464749938374
78,-5,5337,5346,420.8,397.9731463383159,437.40102601856836,397.9731463383159,112.49672201574379,1.6375462926766318,0.05346802377174129,2018-03-29 05:00:00,2018-03-29 14:00:00,0 days 09:00:00,,-4.5848049581430335,-10.448471454827153,7.924264228616508,8.515039337963785,4115.4253195,6442.835763500001,21.273052497299634,38.914322664596796
79,-5,5337,5348,420.8,416.92885772305266,416.92885772305266,,17.68025366929066,1.6754577154461052,0.008403162390347219,2018-03-29 05:00:00,2018-03-29 16:00:00,0 days 11:00:00,,-4.5848049581430335,-10.888115509624493,7.924264228616508,8.697610449570815,4115.4253195,7522.441613499999,21.273052497299634,39.24399336801601
80,-4,5354,5363,386.18,408.68906556166235,408.68906556166235,,-91.30805275154802,1.2717905048986597,-0.05910977572087368,2018-03-29 22:00:00,2018-03-30 07:00:00,0 days 09:00:00,,-11.72728767622098,-12.469206203293432,10.86025494485749,14.162764961015222,10377.300472,14362.934091,40.28386955084975,38.796960569968235
81,-4,5354,5363,386.18,408.68906556166235,408.68906556166235,355.62763787046043,-91.30805275154802,1.2717905048986597,-0.05910977572087368,2018-03-29 22:00:00,2018-03-30 07:00:00,0 days 09:00:00,,-11.72728767622098,-12.469206203293432,10.86025494485749,14.162764961015222,10377.300472,14362.934091,40.28386955084975,38.796960569968235
82,-5,5418,5423,367.07,383.4694298497674,383.4694298497674,,-83.49822810853647,1.5010788596995348,-0.04549444417061406,2018-04-01 14:00:00,2018-04-01 19:00:00,0 days 05:00:00,,-4.871504384930251,-5.910432080339357,7.487681430096629,8.47178246271061,5320.1932830000005,6812.5563425,27.753815844918257,26.107764588513135
